
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.23s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 2.00s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 2.81s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 584tok | 1.67s
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.38s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 1.57s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 513tok | 2.31s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 586tok | 1.66s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 344tok | 0.83s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 369tok | 1.22s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 513tok | 1.01s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 585tok | 1.38s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 343tok | 0.86s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 368tok | 0.61s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 512tok | 1.00s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 583tok | 1.31s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.89s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.81s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 2.02s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 583tok | 1.79s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 0.83s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 0.59s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 514tok | 1.42s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 587tok | 1.26s
Baseline | pred='t' | pos_acc=1/1 (100.0%) | 343tok | 0.77s
CoT      | pred='t' | pos_acc=1/1 (100.0%) | 368tok | 1.37s
L2M      | pred='t' | pos_acc=1/1 (100.0%) | 512tok | 1.22s
L2M-DV   | pred='t' | pos_acc=1/1 (100.0%) | 583tok | 1.75s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.95s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.83s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 513tok | 1.04s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 586tok | 1.58s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 0.79s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 0.82s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 512tok | 1.20s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 583tok | 12.46s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 344tok | 1.15s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 369tok | 0.66s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 513tok | 1.38s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 586tok | 1.98s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 1.27s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 1.26s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 514tok | 1.57s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 587tok | 1.60s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 346tok | 0.67s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 371tok | 0.96s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 515tok | 1.08s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 588tok | 1.43s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.54s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.79s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 2.43s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 583tok | 1.57s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.81s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 1.34s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.66s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 584tok | 1.64s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 0.92s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 1.22s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 512tok | 1.25s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 584tok | 1.40s
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 0.91s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 1.05s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 513tok | 1.00s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 586tok | 1.88s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 1.07s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.84s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 513tok | 1.41s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 585tok | 1.23s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 1.54s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 1.24s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 513tok | 1.21s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 585tok | 1.11s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.30s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.91s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.05s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 584tok | 1.61s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 345tok | 1.45s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 370tok | 0.68s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 514tok | 1.30s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 587tok | 1.44s

### Batch Summary (n_words=1)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline | 100.00% | 6,876 | 1.059s |
| CoT      | 100.00% | 7,376 | 1.038s |
| L2M      | 100.00% | 10,256 | 1.468s |
| L2M-DV   | 100.00% | 11,699 | 2.087s |

======================================================================
num_words = 2 | batch_size = 20
Baseline | pred='nn' | pos_acc=2/2 (100.0%) | 344tok | 1.05s
CoT      | pred='nn' | pos_acc=2/2 (100.0%) | 369tok | 0.79s
L2M      | pred='nn' | pos_acc=2/2 (100.0%) | 532tok | 1.49s
L2M-DV   | pred='nn' | pos_acc=2/2 (100.0%) | 592tok | 1.57s
Baseline | pred='ee' | pos_acc=1/2 (50.0%) | 346tok | 0.95s
CoT      | pred='ee' | pos_acc=1/2 (50.0%) | 371tok | 1.21s
L2M      | pred='en' | pos_acc=2/2 (100.0%) | 534tok | 1.18s
L2M-DV   | pred='en' | pos_acc=2/2 (100.0%) | 595tok | 1.48s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 347tok | 0.84s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 372tok | 0.77s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 535tok | 1.31s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 596tok | 2.65s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 345tok | 0.82s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 370tok | 1.50s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 533tok | 1.05s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 593tok | 1.22s
Baseline | pred='yt' | pos_acc=2/2 (100.0%) | 346tok | 0.85s
CoT      | pred='yt' | pos_acc=2/2 (100.0%) | 371tok | 1.24s
L2M      | pred='yt' | pos_acc=2/2 (100.0%) | 534tok | 2.10s
L2M-DV   | pred='yt' | pos_acc=2/2 (100.0%) | 596tok | 1.05s
Baseline | pred='mc' | pos_acc=1/2 (50.0%) | 347tok | 0.69s
CoT      | pred='mc' | pos_acc=1/2 (50.0%) | 372tok | 0.75s
L2M      | pred='my' | pos_acc=2/2 (100.0%) | 535tok | 1.89s
L2M-DV   | pred='my' | pos_acc=2/2 (100.0%) | 598tok | 1.92s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 346tok | 0.87s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 371tok | 0.79s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 534tok | 1.56s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 596tok | 1.70s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 348tok | 1.20s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 373tok | 1.01s
L2M      | pred='ym' | pos_acc=2/2 (100.0%) | 536tok | 1.92s
L2M-DV   | pred='ym' | pos_acc=2/2 (100.0%) | 599tok | 1.93s
Baseline | pred='rr' | pos_acc=1/2 (50.0%) | 346tok | 0.75s
CoT      | pred='rr' | pos_acc=1/2 (50.0%) | 371tok | 1.50s
L2M      | pred='rn' | pos_acc=2/2 (100.0%) | 534tok | 1.56s
L2M-DV   | pred='rn' | pos_acc=2/2 (100.0%) | 597tok | 1.32s
Baseline | pred='yy' | pos_acc=2/2 (100.0%) | 346tok | 1.05s
CoT      | pred='yy' | pos_acc=2/2 (100.0%) | 371tok | 0.81s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 534tok | 1.43s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 595tok | 2.30s
Baseline | pred='ye' | pos_acc=2/2 (100.0%) | 347tok | 1.01s
CoT      | pred='yn' | pos_acc=1/2 (50.0%) | 372tok | 0.96s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 535tok | 2.39s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 599tok | 1.48s
Baseline | pred='ly' | pos_acc=1/2 (50.0%) | 346tok | 0.96s
CoT      | pred='ly' | pos_acc=1/2 (50.0%) | 371tok | 0.84s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 534tok | 34.14s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 595tok | 1.91s
Baseline | pred='gn' | pos_acc=2/2 (100.0%) | 343tok | 0.77s
CoT      | pred='gn' | pos_acc=2/2 (100.0%) | 368tok | 0.73s
L2M      | pred='gn' | pos_acc=2/2 (100.0%) | 531tok | 1.50s
L2M-DV   | pred='gn' | pos_acc=2/2 (100.0%) | 592tok | 1.75s
Baseline | pred='ry' | pos_acc=2/2 (100.0%) | 345tok | 1.03s
CoT      | pred='ry' | pos_acc=2/2 (100.0%) | 370tok | 1.44s
L2M      | pred='ry' | pos_acc=2/2 (100.0%) | 533tok | 1.54s
L2M-DV   | pred='ry' | pos_acc=2/2 (100.0%) | 596tok | 1.33s
Baseline | pred='et' | pos_acc=1/2 (50.0%) | 349tok | 0.93s
CoT      | pred='et' | pos_acc=1/2 (50.0%) | 374tok | 0.62s
L2M      | pred='ee' | pos_acc=2/2 (100.0%) | 537tok | 2.14s
L2M-DV   | pred='ee' | pos_acc=2/2 (100.0%) | 602tok | 1.34s
