
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.30s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 1.17s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 513tok | 1.42s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 586tok | 2.14s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.28s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 1.21s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.71s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 584tok | 1.85s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 344tok | 0.93s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 369tok | 0.81s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 513tok | 1.35s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 585tok | 1.24s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 343tok | 1.26s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 368tok | 1.05s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 512tok | 1.42s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 583tok | 1.72s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.93s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.80s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.23s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 583tok | 1.33s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 0.84s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 1.05s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 514tok | 0.97s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 587tok | 1.75s
Baseline | pred='t' | pos_acc=1/1 (100.0%) | 343tok | 1.22s
CoT      | pred='t' | pos_acc=1/1 (100.0%) | 368tok | 0.80s
L2M      | pred='t' | pos_acc=1/1 (100.0%) | 512tok | 1.47s
L2M-DV   | pred='t' | pos_acc=1/1 (100.0%) | 583tok | 1.75s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 1.07s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 1.01s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 513tok | 1.16s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 586tok | 2.18s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 1.12s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 0.74s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 512tok | 2.24s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 583tok | 1.49s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 344tok | 1.36s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 369tok | 0.90s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 513tok | 1.14s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 586tok | 1.25s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 0.90s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 0.96s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 514tok | 0.93s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 587tok | 1.52s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 346tok | 0.73s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 371tok | 0.97s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 515tok | 1.24s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 588tok | 2.18s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.81s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.76s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.22s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 583tok | 1.59s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.89s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.66s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.36s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 584tok | 1.32s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 0.87s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 0.85s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 512tok | 0.91s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 584tok | 1.62s
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 0.84s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 0.78s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 513tok | 1.41s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 586tok | 1.18s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.88s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.91s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 513tok | 1.30s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 585tok | 1.52s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.86s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 1.27s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 513tok | 1.20s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 585tok | 1.20s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.86s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.83s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.26s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 584tok | 1.71s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 345tok | 1.03s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 370tok | 1.03s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 514tok | 1.44s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 587tok | 1.63s

### Batch Summary (n_words=1)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline | 100.00% | 6,876 | 0.999s |
| CoT      | 100.00% | 7,376 | 0.928s |
| L2M      | 100.00% | 10,256 | 1.320s |
| L2M-DV   | 100.00% | 11,699 | 1.609s |

======================================================================
num_words = 2 | batch_size = 20
Baseline | pred='en' | pos_acc=2/2 (100.0%) | 346tok | 0.84s
CoT      | pred='en' | pos_acc=2/2 (100.0%) | 371tok | 0.86s
L2M      | pred='en' | pos_acc=2/2 (100.0%) | 534tok | 2.16s
L2M-DV   | pred='en' | pos_acc=2/2 (100.0%) | 621tok | 2.04s
Baseline | pred='nn' | pos_acc=2/2 (100.0%) | 344tok | 0.83s
CoT      | pred='nn' | pos_acc=2/2 (100.0%) | 369tok | 0.91s
L2M      | pred='nn' | pos_acc=2/2 (100.0%) | 532tok | 2.22s
L2M-DV   | pred='nn' | pos_acc=2/2 (100.0%) | 592tok | 1.99s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 347tok | 1.25s
CoT      | pred='yy' | pos_acc=1/2 (50.0%) | 372tok | 1.20s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 535tok | 1.41s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 596tok | 1.32s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 345tok | 0.96s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 370tok | 0.93s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 533tok | 1.23s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 593tok | 1.85s
Baseline | pred='yt' | pos_acc=2/2 (100.0%) | 346tok | 0.82s
CoT      | pred='yt' | pos_acc=2/2 (100.0%) | 371tok | 0.83s
L2M      | pred='yt' | pos_acc=2/2 (100.0%) | 534tok | 1.07s
L2M-DV   | pred='yt' | pos_acc=2/2 (100.0%) | 596tok | 1.41s
Baseline | pred='mc' | pos_acc=1/2 (50.0%) | 347tok | 0.81s
CoT      | pred='mc' | pos_acc=1/2 (50.0%) | 372tok | 0.71s
L2M      | pred='my' | pos_acc=2/2 (100.0%) | 535tok | 1.79s
L2M-DV   | pred='my' | pos_acc=2/2 (100.0%) | 598tok | 1.50s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 346tok | 0.71s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 371tok | 0.66s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 534tok | 1.64s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 596tok | 2.15s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 348tok | 0.80s
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | 373tok | 0.95s
L2M      | pred='ym' | pos_acc=2/2 (100.0%) | 536tok | 1.37s
L2M-DV   | pred='ym' | pos_acc=2/2 (100.0%) | 599tok | 1.34s
Baseline | pred='rr' | pos_acc=1/2 (50.0%) | 346tok | 0.93s
CoT      | pred='rr' | pos_acc=1/2 (50.0%) | 371tok | 0.75s
L2M      | pred='rn' | pos_acc=2/2 (100.0%) | 534tok | 1.64s
L2M-DV   | pred='rn' | pos_acc=2/2 (100.0%) | 597tok | 1.18s
Baseline | pred='yy' | pos_acc=2/2 (100.0%) | 346tok | 0.83s
CoT      | pred='yy' | pos_acc=2/2 (100.0%) | 371tok | 0.88s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 534tok | 1.27s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 595tok | 1.44s
Baseline | pred='ye' | pos_acc=2/2 (100.0%) | 347tok | 0.86s
CoT      | pred='yn' | pos_acc=1/2 (50.0%) | 372tok | 0.69s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 535tok | 1.47s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 599tok | 1.66s
Baseline | pred='ly' | pos_acc=1/2 (50.0%) | 346tok | 0.76s
CoT      | pred='ly' | pos_acc=1/2 (50.0%) | 371tok | 0.79s
L2M      | pred='yy' | pos_acc=2/2 (100.0%) | 534tok | 2.08s
L2M-DV   | pred='yy' | pos_acc=2/2 (100.0%) | 595tok | 1.20s
Baseline | pred='gn' | pos_acc=2/2 (100.0%) | 343tok | 0.75s
CoT      | pred='gn' | pos_acc=2/2 (100.0%) | 368tok | 0.67s
L2M      | pred='gn' | pos_acc=2/2 (100.0%) | 531tok | 1.99s
L2M-DV   | pred='gn' | pos_acc=2/2 (100.0%) | 592tok | 1.17s
Baseline | pred='ry' | pos_acc=2/2 (100.0%) | 345tok | 1.21s
CoT      | pred='ry' | pos_acc=2/2 (100.0%) | 370tok | 0.94s
L2M      | pred='ry' | pos_acc=2/2 (100.0%) | 533tok | 1.23s
L2M-DV   | pred='ry' | pos_acc=2/2 (100.0%) | 596tok | 1.21s
Baseline | pred='et' | pos_acc=1/2 (50.0%) | 349tok | 0.77s
CoT      | pred='et' | pos_acc=1/2 (50.0%) | 374tok | 0.90s
L2M      | pred='ee' | pos_acc=2/2 (100.0%) | 537tok | 1.34s
L2M-DV   | pred='ee' | pos_acc=2/2 (100.0%) | 602tok | 1.22s
Baseline | pred='yg' | pos_acc=1/2 (50.0%) | 345tok | 0.77s
CoT      | pred='yg' | pos_acc=1/2 (50.0%) | 370tok | 0.93s
L2M      | pred='yx' | pos_acc=2/2 (100.0%) | 534tok | 1.34s
L2M-DV   | pred='yx' | pos_acc=2/2 (100.0%) | 623tok | 1.55s
Baseline | pred='yn' | pos_acc=1/2 (50.0%) | 345tok | 1.23s
CoT      | pred='ye' | pos_acc=2/2 (100.0%) | 370tok | 0.85s
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | 533tok | 1.19s
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | 595tok | 1.41s
Baseline | pred='ny' | pos_acc=2/2 (100.0%) | 344tok | 0.67s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 369tok | 0.77s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 532tok | 1.13s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 592tok | 1.14s
Baseline | pred='ng' | pos_acc=1/2 (50.0%) | 347tok | 1.10s
CoT      | pred='no' | pos_acc=1/2 (50.0%) | 372tok | 0.59s
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | 535tok | 1.14s
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | 596tok | 1.19s
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | 347tok | 0.88s
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | 372tok | 0.92s
L2M      | pred='nc' | pos_acc=2/2 (100.0%) | 535tok | 1.28s
L2M-DV   | pred='nc' | pos_acc=2/2 (100.0%) | 598tok | 1.29s

### Batch Summary (n_words=2)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  70.00% | 6,919 | 0.889s |
| CoT      |  67.50% | 7,419 | 0.837s |
| L2M      | 100.00% | 10,680 | 1.500s |
| L2M-DV   | 100.00% | 11,971 | 1.463s |

======================================================================
num_words = 3 | batch_size = 20
Baseline | pred='lnn' | pos_acc=2/3 (66.7%) | 352tok | 0.81s
CoT      | pred='lnn' | pos_acc=2/3 (66.7%) | 377tok | 1.03s
L2M      | pred='ynn' | pos_acc=3/3 (100.0%) | 559tok | 1.34s
L2M-DV   | pred='ynn' | pos_acc=3/3 (100.0%) | 625tok | 1.80s
Baseline | pred='sns' | pos_acc=1/3 (33.3%) | 349tok | 1.29s
CoT      | pred='sns' | pos_acc=1/3 (33.3%) | 374tok | 0.87s
L2M      | pred='sln' | pos_acc=3/3 (100.0%) | 557tok | 1.58s
L2M-DV   | pred='sln' | pos_acc=3/3 (100.0%) | 659tok | 1.95s
Baseline | pred='nyr' | pos_acc=2/3 (66.7%) | 348tok | 0.80s
CoT      | pred='nyr' | pos_acc=2/3 (66.7%) | 373tok | 0.65s
L2M      | pred='nyy' | pos_acc=3/3 (100.0%) | 555tok | 1.36s
L2M-DV   | pred='nyy' | pos_acc=3/3 (100.0%) | 659tok | 1.78s
Baseline | pred='yyr' | pos_acc=2/3 (66.7%) | 350tok | 1.19s
CoT      | pred='yyy' | pos_acc=3/3 (100.0%) | 375tok | 0.82s
L2M      | pred='yyy' | pos_acc=3/3 (100.0%) | 557tok | 1.40s
L2M-DV   | pred='yyy' | pos_acc=3/3 (100.0%) | 624tok | 1.43s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 350tok | 0.72s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 375tok | 0.89s
L2M      | pred='ymy' | pos_acc=3/3 (100.0%) | 557tok | 1.49s
L2M-DV   | pred='ymy' | pos_acc=3/3 (100.0%) | 662tok | 1.93s
Baseline | pred='nen' | pos_acc=1/3 (33.3%) | 351tok | 0.62s
CoT      | pred='non' | pos_acc=1/3 (33.3%) | 376tok | 0.93s
L2M      | pred='nye' | pos_acc=3/3 (100.0%) | 558tok | 1.51s
L2M-DV   | pred='nye' | pos_acc=3/3 (100.0%) | 665tok | 2.43s
Baseline | pred='lyy' | pos_acc=1/3 (33.3%) | 351tok | 0.72s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 376tok | 0.91s
L2M      | pred='yyl' | pos_acc=3/3 (100.0%) | 558tok | 1.75s
L2M-DV   | pred='yyl' | pos_acc=3/3 (100.0%) | 622tok | 1.95s
Baseline | pred='eon' | pos_acc=1/3 (33.3%) | 350tok | 0.87s
CoT      | pred='eon' | pos_acc=1/3 (33.3%) | 375tok | 0.64s
L2M      | pred='eny' | pos_acc=3/3 (100.0%) | 556tok | 1.54s
L2M-DV   | pred='eny' | pos_acc=3/3 (100.0%) | 660tok | 1.83s
Baseline | pred='mty' | pos_acc=1/3 (33.3%) | 352tok | 1.09s
CoT      | pred='lyt' | pos_acc=1/3 (33.3%) | 377tok | 1.12s
L2M      | pred='myl' | pos_acc=3/3 (100.0%) | 559tok | 1.50s
L2M-DV   | pred='myl' | pos_acc=3/3 (100.0%) | 664tok | 1.80s
Baseline | pred='yms' | pos_acc=2/3 (66.7%) | 349tok | 1.30s
CoT      | pred='yms' | pos_acc=2/3 (66.7%) | 374tok | 0.76s
L2M      | pred='ymn' | pos_acc=3/3 (100.0%) | 556tok | 1.32s
L2M-DV   | pred='ymn' | pos_acc=3/3 (100.0%) | 657tok | 2.84s
Baseline | pred='nly' | pos_acc=2/3 (66.7%) | 349tok | 0.86s
